gene,group,Bin,Bucket,Lump,Quality
BEST2,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
ZG16,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
MUC4,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
KLK1,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
MUC5B,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
RETNLB,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
FAM3D,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
IL1R2,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
TPSG1,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
FFAR4,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
RNASE1,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
PIEZO1,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
IER3,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
MUC1,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
KLF2,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
GNE,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
B3GNT6,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
ABLIM1,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
ADAM15,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
ATP2C2,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
FAM83E,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
ENTPD8,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
SLC39A8,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
EMP2,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
PPP1R1B,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
RASEF,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
PTGER4,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
MUC2,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
ERN2,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
GRK2,BEST2+ Goblet cell,Goblet,Secretory Epithelial,Epithelial,
BEST4,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
CA7,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
OTOP2,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
CA4,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
GUCA2A,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
GUCA2B,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
KRT20,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
CEACAM6,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
NBPF19,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
CARD16,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
NBPF14,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
MSLN,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
HRCT1,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
CCNYL1,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
SCIN,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
CDK18,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
FRMD1,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
VIPR1,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
SPIB,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
DMBT1,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
NOTCH2,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
GNPTAB,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
SDCBP2,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
ADRA2A,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
NBPF10,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
ADCY5,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
MYOM1,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
NEURL1,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
NBPF26,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
SAMD9L,BEST4+ epithelial,Epithelial,Epithelial,Epithelial,
TM4SF1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CPA2,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CLDN10,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
DLK1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
RBPJ,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
IGF2.1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
TACSTD2,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
ERP27,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
TTYH1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CLU,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
FLRT2,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
SPINK1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
GATM,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CTRB1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CYR61,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CPA1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
SERPINI2,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
SFRP5,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CTRB2,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
MEST,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
IGFBP7,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
RBPJL,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
ELMO1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
PHGDH,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CYB5A,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
AMBP,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
CCDC198,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
ONECUT1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
SYCN,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
COL18A1,CLDN10+ cells,Progenitor,Progenitor,Progenitor,
SLC26A2,Colonocyte,Colonocyte,Epithelial,Epithelial,
MS4A12,Colonocyte,Colonocyte,Epithelial,Epithelial,
CA1,Colonocyte,Colonocyte,Epithelial,Epithelial,
SELENBP1,Colonocyte,Colonocyte,Epithelial,Epithelial,
SFN,Colonocyte,Colonocyte,Epithelial,Epithelial,
ETHE1,Colonocyte,Colonocyte,Epithelial,Epithelial,
SLC26A3,Colonocyte,Colonocyte,Epithelial,Epithelial,
AQP8,Colonocyte,Colonocyte,Epithelial,Epithelial,
CA2,Colonocyte,Colonocyte,Epithelial,Epithelial,
FABP1,Colonocyte,Colonocyte,Epithelial,Epithelial,
UGP2,Colonocyte,Colonocyte,Epithelial,Epithelial,
TSC22D1,Colonocyte,Colonocyte,Epithelial,Epithelial,
C10orf99,Colonocyte,Colonocyte,Epithelial,Epithelial,
PLAC8,Colonocyte,Colonocyte,Epithelial,Epithelial,
TMEM54,Colonocyte,Colonocyte,Epithelial,Epithelial,
C15orf48,Colonocyte,Colonocyte,Epithelial,Epithelial,
SCNN1B,Colonocyte,Colonocyte,Epithelial,Epithelial,
TST,Colonocyte,Colonocyte,Epithelial,Epithelial,
CDKN2B-AS1,Colonocyte,Colonocyte,Epithelial,Epithelial,
AHCYL2,Colonocyte,Colonocyte,Epithelial,Epithelial,
GPRC5A,Colonocyte,Colonocyte,Epithelial,Epithelial,
DHRS9,Colonocyte,Colonocyte,Epithelial,Epithelial,
ACADS,Colonocyte,Colonocyte,Epithelial,Epithelial,
MPC1,Colonocyte,Colonocyte,Epithelial,Epithelial,
PYGB,Colonocyte,Colonocyte,Epithelial,Epithelial,
C2orf88,Colonocyte,Colonocyte,Epithelial,Epithelial,
CEACAM7,Colonocyte,Colonocyte,Epithelial,Epithelial,
TMPRSS4,Colonocyte,Colonocyte,Epithelial,Epithelial,
GPT,Colonocyte,Colonocyte,Epithelial,Epithelial,
COL17A1,Colonocyte,Colonocyte,Epithelial,Epithelial,
SST,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
HHEX,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
MET,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
